Study	Conditions	Patient	Subtype	GEOStudy	GEOSamples	ArrayExpressExperiment	ArrayExpressSample	ENAExperiment	ENARun	SampleId	Reads	Link	Comments
R1.9.5.PC3	CCs	NA	NA	GSE134428	GSM3946403	NA	NA	SRX6457384	SRR9699305	SRR9699305	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR969/005/SRR9699305/SRR9699305.fastq.gz	
R1.9.5.PC3	CSCs	NA	NA	GSE134428	GSM3946404	NA	NA	SRX6457385	SRR9699306	SRR9699306	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR969/006/SRR9699306/SRR9699306.fastq.gz	
R1.9.5.PC3	CSCs	NA	NA	GSE134428	GSM3946405	NA	NA	SRX6457386	SRR9699307	SRR9699307	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR969/007/SRR9699307/SRR9699307.fastq.gz	
R2.2.2.HepG2	CCs	NA	NA	GSE117459	GSM3300793	NA	NA	SRX4414225	SRR7548013	SRR7548013	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR754/003/SRR7548013/SRR7548013_1.fastq.gz	
R2.2.2.HepG2	CCs	NA	NA	GSE117459	GSM3300793	NA	NA	SRX4414225	SRR7548013	SRR7548013	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR754/003/SRR7548013/SRR7548013_2.fastq.gz	
R2.2.2.HepG2	CCs	NA	NA	GSE117459	GSM3300794	NA	NA	SRX4414226	SRR7548014	SRR7548014	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR754/004/SRR7548014/SRR7548014_1.fastq.gz	
R2.2.2.HepG2	CCs	NA	NA	GSE117459	GSM3300794	NA	NA	SRX4414226	SRR7548014	SRR7548014	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR754/004/SRR7548014/SRR7548014_2.fastq.gz	
R2.2.2.HepG2	CSCs	NA	NA	GSE117459	GSM3300795	NA	NA	SRX4414227	SRR7548015	SRR7548015	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR754/005/SRR7548015/SRR7548015_1.fastq.gz	
R2.2.2.HepG2	CSCs	NA	NA	GSE117459	GSM3300795	NA	NA	SRX4414227	SRR7548015	SRR7548015	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR754/005/SRR7548015/SRR7548015_2.fastq.gz	
R2.2.2.HepG2	CSCs	NA	NA	GSE117459	GSM3300796	NA	NA	SRX4414228	SRR7548016	SRR7548016	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR754/006/SRR7548016/SRR7548016_1.fastq.gz	
R2.2.2.HepG2	CSCs	NA	NA	GSE117459	GSM3300796	NA	NA	SRX4414228	SRR7548016	SRR7548016	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR754/006/SRR7548016/SRR7548016_2.fastq.gz	
R3.3.1.CR4	CCs	NA	NA	GSE56660	GSM1366492	E-GEOD-56660	GSM1366492	SRX514724	SRR1231445	SRR1231445	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/005/SRR1231445/SRR1231445_1.fastq.gz	
R3.3.1.CR4	CCs	NA	NA	GSE56660	GSM1366492	E-GEOD-56660	GSM1366492	SRX514724	SRR1231445	SRR1231445	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/005/SRR1231445/SRR1231445_2.fastq.gz	
R3.3.1.CR4	CCs	NA	NA	GSE56660	GSM1366493	E-GEOD-56660	GSM1366493	SRX514725	SRR1231446	SRR1231446	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/006/SRR1231446/SRR1231446_1.fastq.gz	
R3.3.1.CR4	CCs	NA	NA	GSE56660	GSM1366493	E-GEOD-56660	GSM1366493	SRX514725	SRR1231446	SRR1231446	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/006/SRR1231446/SRR1231446_2.fastq.gz	
R3.3.1.CR4	CSCs	NA	NA	GSE56660	GSM1366494	E-GEOD-56660	GSM1366494	SRX514726	SRR1231447	SRR1231447	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/007/SRR1231447/SRR1231447_1.fastq.gz	
R3.3.1.CR4	CSCs	NA	NA	GSE56660	GSM1366494	E-GEOD-56660	GSM1366494	SRX514726	SRR1231447	SRR1231447	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/007/SRR1231447/SRR1231447_2.fastq.gz	
R4.2.2	CCs	NA	NA	GSE79735	GSM2101771	NA	NA	SRX1670488	SRR3313626	SRR3313626	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR331/006/SRR3313626/SRR3313626_1.fastq.gz	
R4.2.2	CCs	NA	NA	GSE79735	GSM2101771	NA	NA	SRX1670488	SRR3313626	SRR3313626	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR331/006/SRR3313626/SRR3313626_2.fastq.gz	
R4.2.2	CCs	NA	NA	GSE79735	GSM2101772	NA	NA	SRX1670489	SRR3313627	SRR3313627	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR331/007/SRR3313627/SRR3313627_1.fastq.gz	
R4.2.2	CCs	NA	NA	GSE79735	GSM2101772	NA	NA	SRX1670489	SRR3313627	SRR3313627	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR331/007/SRR3313627/SRR3313627_2.fastq.gz	
R4.2.2	CSCs	NA	NA	GSE79735	GSM2101770	NA	NA	SRX1670487	SRR3313625	SRR3313625	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR331/005/SRR3313625/SRR3313625_1.fastq.gz	
R4.2.2	CSCs	NA	NA	GSE79735	GSM2101770	NA	NA	SRX1670487	SRR3313625	SRR3313625	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR331/005/SRR3313625/SRR3313625_2.fastq.gz	
R4.10.2	CCs	1	NA	NA	NA	NA	NA	NA	NA	FCC1	1	FCC1_1	
R4.10.2	CCs	1	NA	NA	NA	NA	NA	NA	NA	FCC1	2	FCC1_2	
R4.10.2	CCs	2	NA	NA	NA	NA	NA	NA	NA	FCC2	1	FCC2_1	
R4.10.2	CCs	2	NA	NA	NA	NA	NA	NA	NA	FCC2	2	FCC2_2	
R4.10.2	CCs	3	NA	NA	NA	NA	NA	NA	NA	FCC3	1	FCC3_1	
R4.10.2	CCs	3	NA	NA	NA	NA	NA	NA	NA	FCC3	2	FCC3_2	
R4.10.2	CSCs	1	NA	NA	NA	NA	NA	NA	NA	SCC1	1	SCC1_1	
R4.10.2	CSCs	1	NA	NA	NA	NA	NA	NA	NA	SCC1	2	SCC1_2	
R4.10.2	CSCs	2	NA	NA	NA	NA	NA	NA	NA	SCC2	1	SCC2_1	
R4.10.2	CSCs	2	NA	NA	NA	NA	NA	NA	NA	SCC2	2	SCC2_2	
R4.10.2	CSCs	3	NA	NA	NA	NA	NA	NA	NA	SCC3	1	SCC3_1	
R4.10.2	CSCs	3	NA	NA	NA	NA	NA	NA	NA	SCC3	2	SCC3_2	
R5.8.4.TN.MDAMB468	CCs	NA	NA	NA	NA	NA	NA	SRX5108180	SRR8293589	SRR8293589	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/009/SRR8293589/SRR8293589_1.fastq.gz	
R5.8.4.TN.MDAMB468	CCs	NA	NA	NA	NA	NA	NA	SRX5108180	SRR8293589	SRR8293589	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/009/SRR8293589/SRR8293589_2.fastq.gz	
R5.8.4.TN.MDAMB468	CCs	NA	NA	NA	NA	NA	NA	SRX5108179	SRR8293590	SRR8293590	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/000/SRR8293590/SRR8293590_1.fastq.gz	
R5.8.4.TN.MDAMB468	CCs	NA	NA	NA	NA	NA	NA	SRX5108179	SRR8293590	SRR8293590	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/000/SRR8293590/SRR8293590_2.fastq.gz	
R5.8.4.TN.MDAMB468	CSCs	NA	NA	NA	NA	NA	NA	SRX5108178	SRR8293591	SRR8293591	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/001/SRR8293591/SRR8293591_1.fastq.gz	
R5.8.4.TN.MDAMB468	CSCs	NA	NA	NA	NA	NA	NA	SRX5108178	SRR8293591	SRR8293591	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/001/SRR8293591/SRR8293591_2.fastq.gz	
R5.8.4.TN.MDAMB468	CSCs	NA	NA	NA	NA	NA	NA	SRX5108177	SRR8293592	SRR8293592	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/002/SRR8293592/SRR8293592_1.fastq.gz	
R5.8.4.TN.MDAMB468	CSCs	NA	NA	NA	NA	NA	NA	SRX5108177	SRR8293592	SRR8293592	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/002/SRR8293592/SRR8293592_2.fastq.gz	
R5.8.2.TN	CCs	NA	SUM149PT	GSE132083	GSM3842261	NA	NA	SRX5952959	SRR9180336	SRR9180336	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR918/006/SRR9180336/SRR9180336_1.fastq.gz	
R5.8.2.TN	CCs	NA	SUM149PT	GSE132083	GSM3842261	NA	NA	SRX5952959	SRR9180336	SRR9180336	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR918/006/SRR9180336/SRR9180336_2.fastq.gz	
R5.8.2.TN	CCs	NA	SUM149PT	GSE132083	GSM3842262	NA	NA	SRX5952960	SRR9180337	SRR9180337	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR918/007/SRR9180337/SRR9180337_1.fastq.gz	
R5.8.2.TN	CCs	NA	SUM149PT	GSE132083	GSM3842262	NA	NA	SRX5952960	SRR9180337	SRR9180337	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR918/007/SRR9180337/SRR9180337_2.fastq.gz	
R5.8.2.TN	CCs	NA	SUM149PT	GSE132083	GSM3842263	NA	NA	SRX5952961	SRR9180338	SRR9180338	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR918/008/SRR9180338/SRR9180338_1.fastq.gz	
R5.8.2.TN	CCs	NA	SUM149PT	GSE132083	GSM3842263	NA	NA	SRX5952961	SRR9180338	SRR9180338	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR918/008/SRR9180338/SRR9180338_2.fastq.gz	
R5.8.2.TN	CCs	NA	HCC1937	GSE132083	GSM3842267	NA	NA	SRX5952965	SRR9180342	SRR9180342	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR918/002/SRR9180342/SRR9180342_1.fastq.gz	
R5.8.2.TN	CCs	NA	HCC1937	GSE132083	GSM3842267	NA	NA	SRX5952965	SRR9180342	SRR9180342	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR918/002/SRR9180342/SRR9180342_2.fastq.gz	
R5.8.2.TN	CCs	NA	HCC1937	GSE132083	GSM3842268	NA	NA	SRX5952966	SRR9180343	SRR9180343	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR918/003/SRR9180343/SRR9180343_1.fastq.gz	
R5.8.2.TN	CCs	NA	HCC1937	GSE132083	GSM3842268	NA	NA	SRX5952966	SRR9180343	SRR9180343	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR918/003/SRR9180343/SRR9180343_2.fastq.gz	
R5.8.2.TN	CCs	NA	HCC1937	GSE132083	GSM3842269	NA	NA	SRX5952967	SRR9180344	SRR9180344	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR918/004/SRR9180344/SRR9180344_1.fastq.gz	
R5.8.2.TN	CCs	NA	HCC1937	GSE132083	GSM3842269	NA	NA	SRX5952967	SRR9180344	SRR9180344	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR918/004/SRR9180344/SRR9180344_2.fastq.gz	
R5.8.2.TN	CSCs	NA	SUM149PT	GSE132083	GSM3842264	NA	NA	SRX5952962	SRR9180339	SRR9180339	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR918/009/SRR9180339/SRR9180339_1.fastq.gz	
R5.8.2.TN	CSCs	NA	SUM149PT	GSE132083	GSM3842264	NA	NA	SRX5952962	SRR9180339	SRR9180339	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR918/009/SRR9180339/SRR9180339_2.fastq.gz	
R5.8.2.TN	CSCs	NA	SUM149PT	GSE132083	GSM3842265	NA	NA	SRX5952963	SRR9180340	SRR9180340	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR918/000/SRR9180340/SRR9180340_1.fastq.gz	
R5.8.2.TN	CSCs	NA	SUM149PT	GSE132083	GSM3842265	NA	NA	SRX5952963	SRR9180340	SRR9180340	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR918/000/SRR9180340/SRR9180340_2.fastq.gz	
R5.8.2.TN	CSCs	NA	SUM149PT	GSE132083	GSM3842266	NA	NA	SRX5952964	SRR9180341	SRR9180341	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR918/001/SRR9180341/SRR9180341_1.fastq.gz	
R5.8.2.TN	CSCs	NA	SUM149PT	GSE132083	GSM3842266	NA	NA	SRX5952964	SRR9180341	SRR9180341	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR918/001/SRR9180341/SRR9180341_2.fastq.gz	
R5.8.2.TN	CSCs	NA	HCC1937	GSE132083	GSM3842270	NA	NA	SRX5952968	SRR9180345	SRR9180345	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR918/005/SRR9180345/SRR9180345_1.fastq.gz	
R5.8.2.TN	CSCs	NA	HCC1937	GSE132083	GSM3842270	NA	NA	SRX5952969	SRR9180345	SRR9180345	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR918/005/SRR9180345/SRR9180345_2.fastq.gz	
R5.8.2.TN	CSCs	NA	HCC1937	GSE132083	GSM3842271	NA	NA	SRX5952969	SRR9180346	SRR9180346	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR918/006/SRR9180346/SRR9180346_1.fastq.gz	
R5.8.2.TN	CSCs	NA	HCC1937	GSE132083	GSM3842271	NA	NA	SRX5952969	SRR9180346	SRR9180346	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR918/006/SRR9180346/SRR9180346_2.fastq.gz	
R5.8.2.TN	CSCs	NA	HCC1937	GSE132083	GSM3842272	NA	NA	SRX5952970	SRR9180347	SRR9180347	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR918/007/SRR9180347/SRR9180347_1.fastq.gz	
R5.8.2.TN	CSCs	NA	HCC1937	GSE132083	GSM3842272	NA	NA	SRX5952970	SRR9180347	SRR9180347	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR918/007/SRR9180347/SRR9180347_2.fastq.gz	
R6.7.2.SKOV3	CCs	NA	NA	GSE106848	GSM2855461	NA	NA	SRX3387533	SRR6286151	SRR6286151	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR628/001/SRR6286151/SRR6286151.fastq.gz	
R6.7.2.SKOV3	CCs	NA	NA	GSE106848	GSM2855462	NA	NA	SRX3387534	SRR6286152	SRR6286152	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR628/002/SRR6286152/SRR6286152.fastq.gz	
R6.7.2.SKOV3	CSCs	NA	NA	GSE106848	GSM2855463	NA	NA	SRX3387535	SRR6286153	SRR6286153	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR628/003/SRR6286153/SRR6286153.fastq.gz	
R6.7.2.SKOV3	CSCs	NA	NA	GSE106848	GSM2855464	NA	NA	SRX3387536	SRR6286154	SRR6286154	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR628/004/SRR6286154/SRR6286154.fastq.gz	
R10.6.3.TU177	CCs	NA	NA	GSE106283	GSM2834568	NA	NA	SRX3338991	SRR6230477	SRR6230477	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR623/007/SRR6230477/SRR6230477_1.fastq.gz	
R10.6.3.TU177	CCs	NA	NA	GSE106283	GSM2834568	NA	NA	SRX3338991	SRR6230477	SRR6230477	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR623/007/SRR6230477/SRR6230477_2.fastq.gz	
R10.6.3.TU177	CSCs	NA	NA	GSE106283	GSM2834567	NA	NA	SRX3338990	SRR6230476	SRR6230476	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR623/006/SRR6230476/SRR6230476_1.fastq.gz	
R10.6.3.TU177	CSCs	NA	NA	GSE106283	GSM2834567	NA	NA	SRX3338990	SRR6230476	SRR6230476	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR623/006/SRR6230476/SRR6230476_2.fastq.gz	
R11.1.4	CCs	NA	NCIH1703	GSE48599	GSM1181914	NA	NA	SRX318833	SRR927168	SRR927168	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR927/SRR927168/SRR927168_1.fastq.gz	
R11.1.4	CCs	NA	NCIH1703	GSE48599	GSM1181914	NA	NA	SRX318833	SRR927168	SRR927168	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR927/SRR927168/SRR927168_2.fastq.gz	
R11.1.4	CCs	NA	NCIH1299	GSE48599	GSM1181915	NA	NA	SRX318834	SRR927169	SRR927169	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR927/SRR927169/SRR927169_1.fastq.gz	
R11.1.4	CCs	NA	NCIH1299	GSE48599	GSM1181915	NA	NA	SRX318834	SRR927169	SRR927169	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR927/SRR927169/SRR927169_2.fastq.gz	
R11.1.4	CCs	NA	ChaGoK1	GSE48599	GSM1181918	NA	NA	SRX318837	SRR927172	SRR927172	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR927/SRR927172/SRR927172_1.fastq.gz	
R11.1.4	CCs	NA	ChaGoK1	GSE48599	GSM1181918	NA	NA	SRX318837	SRR927172	SRR927172	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR927/SRR927172/SRR927172_2.fastq.gz	
R11.1.4	CSCs	NA	NCIH1703	GSE48599	GSM1181912	NA	NA	SRX318831	SRR927166	SRR927166	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR927/SRR927166/SRR927166_1.fastq.gz	
R11.1.4	CSCs	NA	NCIH1703	GSE48599	GSM1181912	NA	NA	SRX318831	SRR927166	SRR927166	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR927/SRR927166/SRR927166_2.fastq.gz	
R11.1.4	CSCs	NA	NCIH1299	GSE48599	GSM1181916	NA	NA	SRX318835	SRR927170	SRR927170	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR927/SRR927170/SRR927170_1.fastq.gz	
R11.1.4	CSCs	NA	NCIH1299	GSE48599	GSM1181916	NA	NA	SRX318835	SRR927170	SRR927170	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR927/SRR927170/SRR927170_2.fastq.gz	
R11.1.4	CSCs	NA	ChaGoK1	GSE48599	GSM1181919	NA	NA	SRX318838	SRR927173	SRR927173	1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR927/SRR927173/SRR927173_1.fastq.gz	
R11.1.4	CSCs	NA	ChaGoK1	GSE48599	GSM1181919	NA	NA	SRX318838	SRR927173	SRR927173	2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR927/SRR927173/SRR927173_2.fastq.gz	
R12.5.4	CCs	1	NA	NA	NA	E-MTAB-3808	Sample_Adh-185a	?	ERR978107	ERR978107	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978107/ERR978107.fastq.gz	
R12.5.4	CCs	1	NA	NA	NA	E-MTAB-3808	Sample_Adh-185a	?	ERR978108	ERR978108	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978108/ERR978108.fastq.gz	
R12.5.4	CCs	1	NA	NA	NA	E-MTAB-3808	Sample_Adh-185a	?	ERR978109	ERR978109	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978109/ERR978109.fastq.gz	
R12.5.4	CCs	1	NA	NA	NA	E-MTAB-3808	Sample_Adh-185a	?	ERR978110	ERR978110	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978110/ERR978110.fastq.gz	
R12.5.4	CCs	1	NA	NA	NA	E-MTAB-3808	Sample_Adh-185a	?	ERR978111	ERR978111	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978111/ERR978111.fastq.gz	
R12.5.4	CCs	1	NA	NA	NA	E-MTAB-3808	Sample_Adh-185a	?	ERR978112	ERR978112	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978112/ERR978112.fastq.gz	
R12.5.4	CCs	1	NA	NA	NA	E-MTAB-3808	Sample_Adh-185a	?	ERR978113	ERR978113	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978113/ERR978113.fastq.gz	
R12.5.4	CCs	1	NA	NA	NA	E-MTAB-3808	Sample_Adh-185a	?	ERR978114	ERR978114	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978114/ERR978114.fastq.gz	
R12.5.4	CCs	1	NA	NA	NA	E-MTAB-3808	Sample_Adh-185b	?	ERR978115	ERR978115	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978115/ERR978115.fastq.gz	
R12.5.4	CCs	1	NA	NA	NA	E-MTAB-3808	Sample_Adh-185b	?	ERR978116	ERR978116	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978116/ERR978116.fastq.gz	
R12.5.4	CCs	1	NA	NA	NA	E-MTAB-3808	Sample_Adh-185b	?	ERR978117	ERR978117	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978117/ERR978117.fastq.gz	
R12.5.4	CCs	1	NA	NA	NA	E-MTAB-3808	Sample_Adh-185b	?	ERR978118	ERR978118	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978118/ERR978118.fastq.gz	
R12.5.4	CCs	1	NA	NA	NA	E-MTAB-3808	Sample_Adh-185b	?	ERR978119	ERR978119	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978119/ERR978119.fastq.gz	
R12.5.4	CCs	1	NA	NA	NA	E-MTAB-3808	Sample_Adh-185b	?	ERR978120	ERR978120	Unpaired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/ERR978120/ERR978120.fastq.gz	
